idcategory,categdesc
070122,Animals' cages or kennels
070123,Dwellings or buildings in ruins
070124,Dwellings or buildings stylized
070125,Other dwellings or buildings
070126,Shops; supermarkets; restaurants; theaters
070199,Heraldic castles
0703,PARTS OF DWELLINGS OR OF BUILDINGS; INTERIORS
070301,Doors; entrances
070302,Windows; stained-glass windows
070303,Bays; balconies; balustrades; moucharabies; pergolas
070304,Interiors
070305,Kitchens
070306,Bathrooms and sauna-rooms
070307,Bedrooms
070308,Cellars
070309,Other interiors
070311,Roofs
070312,Chimneys; chimney pots
070313,Shop window displays
070315,Staircases
070320,Blinds; shutters; awnings
070325,Other parts of dwellings or of buildings
0705,MONUMENTS; STADIUMS; FOUNTAINS
070501,Pyramids
070502,Constructions recognized as monuments (Great Wall of China; Eiffel Tower; Statue
070505,Other ancient monuments
070506,Ancient temples or parts thereof
070508,Columns; obelisks
070509,Stadiums; amphitheaters; playgrounds; playing fields; boxing rings
070510,Triumphal arches; porticos; town gates
070511,Labyrinths
070512,Totem poles
070513,Tombstones
070515,Fountains; basins; swimming pools; sprays or jets of water; wells
070525,Other monuments
0711,STRUCTURAL WORKS
071101,Bridges
071105,Tunnels
071110,Roads; intersections; road forks
071115,Railway lines
071120,Mooring posts; bollards
071121,Water hydrants; fire hydrants
071123,Dams
071125,Other structural works
0715,BUILDING MATERIALS; WALLS; GATES OR BARRIERS; SCAFFOLDING
071501,Stones; stones for building; bricks
071505,Planks; plates; panels; flagstones
071506,Corrugated iron or other corrugated materials
071508,Representations of wood
071509,Tiles
071520,Other building materials
071522,Walls; gates or barriers
071525,Scaffolding
071526,Solar panels
08,FOODSTUFFS
0801,BAKERS' PRODUCTS; PASTRY; CONFECTIONERY; CHOCOLATE
080101,Bread
080102,Pan loaves of square or rectangular shape
080103,Long loaves; French bread (bread sticks)
080104,Loaves of round or cylindrical shape
080106,Rusks; slices of bread; slices of bread spread with butter; jam or other edible
080107,Bread rolls; brioches
080108,Croissants
080109,Small biscuits
080110,Small biscuits of round shape (except 8.1.12)
080111,Small biscuits of square or rectangular shape (except 8.1.12)
080112,Small biscuits with lobed edges
080113,Small biscuits of triangular shape (except 8.1.12)
080114,Mixtures of small biscuits of different shapes
080115,Pastries
080116,Tarts; flans; pies
080117,Cakes
080118,Ice creams; including wafer cones for ice cream
080119,Chocolate; confectionery; chewing gum; sweets; candy
080120,Slabs of chocolate
080121,Sticks of chocolate
080122,Squares of chocolate; pralines; fondants or other sweets (except 8.1.23)
080123,Pralines; fondants or other wrapped sweets
080124,Lollipops
080125,Other bakers' products; donuts; waffel; brezel
0803,MILK; DAIRY PRODUCTS; CHEESES
080301,Milk; cream (except 8.3.2)
080302,Whipped cream
080303,Butter; margarine
080304,Butter or margarine in pats
080305,Butter or margarine in slabs
080306,Butter or margarine in shell shape
080307,Butter or margarine in some other shape
080308,Cheeses
080309,Cheeses of round shape
080310,Cheeses of square or rectangular shape
080311,Cheeses of some other shape (uncut)
080312,Cheese cut up
080325,Other dairy products (except 8.7.15)
0805,BUTCHERS' MEAT; PORK PRODUCTS; FISHMONGERS' PRODUCTS
080501,Butchers' meat; pork products; fishmongers' products
080502,Ham; legs of mutton; joints of meat
080503,Sausages (fresh); sausages (dry); salami
080504,Butchers' meat; pork products or fish in slices
080510,Poultry or game cooked or prepared for cooking
080515,Fish; fish fillets or other fishmongers' products cooked or prepared for cooking
080525,Other butchers' meat; other pork products
0807,OTHER FOODSTUFFS
080701,Soups or beverages (in plates; in cups; in bowls; in soup tureens; in glasses; e
080703,Macaroni; other pasta
080704,Pizzas
080705,Dishes or plates; filled
080707,Dishes of vegetables; vegetable salads
080708,Crisps (chips); potato products and like products
080709,Popcorn
080710,Tacos; wraps; kebabs; empanadas and like products
080711,Eggs of all kinds; eggs cooked
080714,Fruit salads; compotes of fruit
080715,Baked custard; puddings; omelettes
080716,Pancakes; crêpes; tortillas
080717,Mixtures of foodstuffs classified in different divisions
080721,Sugar
080722,Foodstuffs for dogs and cats (nuggets); pellets and flakes for animals
080725,Other foodstuffs not classified in 8.7.1 to 8.7.22';' hamburgers
09,TEXTILES; CLOTHING; SEWING ACCESORIES; HEADWEAR; FOOTWEAR
0901,TEXTILES OTHER THAN CLOTHING; SHUTTLES
090101,Thread
090102,Thread wound into a skein
090103,Thread wound on a bobbin or on some other support (except A 9.1.4)
090104,Thread wound on a shuttle; shuttles with or without thread
090105,Thread wound into a ball
090106,Other presentations of thread
090107,Laces; braids; tapes; cords; ropes
090108,Stitches
090109,Embroidery; tea cloths; tray cloths; trimmings
090110,Ribbons; bows
090111,Cloth; network; flat linen; curtains; carpets; towels; sheet; table-cloths; hand
090115,Network; loose weaving; chain stitches
090116,Cloth edged with a thread or one or more distinctive bands
090117,Flat linen
090118,Cloth in pieces or in rolls
090119,Cloth in piles
090120,Draped cloth; curtains
090121,Carpets; cloth with fringes
090122,Samples of cloth
